,lat,lon,minutes_remaining,period,playoffs,shot_distance,shot_made_flag
83,34.0403,-118.2778,10,1,0,0,0.0
86,33.9173,-118.1378,6,1,0,18,1.0
87,33.8563,-118.2988,5,1,0,19,1.0
88,33.9683,-118.1298,2,1,0,15,1.0
89,34.0443,-118.1298,1,1,0,14,1.0
90,33.8883,-118.2708,1,1,0,15,1.0
91,34.0403,-118.4208,0,1,0,15,1.0
92,33.9683,-118.1598,10,2,0,13,0.0
93,33.9573,-118.1378,9,2,0,15,0.0
96,33.8843,-118.3638,3,2,0,18,1.0
98,34.0443,-118.1298,0,2,0,14,1.0
99,34.0353,-118.2308,11,3,0,4,0.0
100,33.8943,-118.2458,9,3,0,15,0.0
101,34.0443,-118.2708,7,3,0,0,1.0
102,33.9113,-118.1508,6,3,0,17,1.0
104,34.0253,-118.1508,3,3,0,12,0.0
105,34.0023,-118.4628,0,3,0,19,0.0
106,33.9893,-118.4358,0,3,0,17,0.0
107,33.9283,-118.2458,10,4,0,11,0.0
108,33.8883,-118.3348,7,4,0,16,0.0
109,34.0183,-118.4358,6,4,0,16,1.0
110,33.9683,-118.3278,5,4,0,9,0.0
111,33.9743,-118.3068,3,4,0,7,0.0
113,33.8563,-118.3638,11,1,0,21,0.0
114,34.0443,-118.2698,10,1,0,0,0.0
115,34.0443,-118.2698,9,1,0,0,0.0
116,34.0443,-118.2698,9,1,0,0,0.0
117,34.0443,-118.2698,3,1,0,0,1.0
118,34.0443,-118.2698,0,1,0,0,1.0
119,33.9033,-118.1848,0,1,0,16,0.0
120,33.8863,-118.3578,8,2,0,18,1.0
121,34.0443,-118.2698,8,2,0,0,1.0
123,34.0443,-118.2698,0,2,0,0,1.0
126,34.0523,-118.1148,8,3,0,15,1.0
127,34.0313,-118.4248,5,3,0,15,1.0
128,33.9113,-118.3538,4,3,0,15,0.0
129,34.0523,-118.4478,3,3,0,17,0.0
130,33.9553,-118.2538,3,3,0,9,0.0
131,33.9383,-118.3178,3,3,0,11,1.0
133,34.0313,-118.4398,2,3,0,17,0.0
134,33.9113,-118.3888,0,3,0,17,0.0
135,34.0043,-118.2608,10,4,0,4,0.0
136,33.9623,-118.3538,6,4,0,11,0.0
137,33.9853,-118.2608,4,4,0,5,0.0
138,34.0443,-118.2698,3,4,0,0,1.0
139,33.9853,-118.2608,1,4,0,5,1.0
141,34.0443,-118.2698,1,4,0,0,0.0
142,34.0443,-118.2698,7,1,0,0,0.0
144,34.0443,-118.2698,3,1,0,0,1.0
145,34.0483,-118.1408,2,1,0,12,1.0
146,33.9473,-118.3678,0,1,0,13,1.0
147,33.9663,-118.1028,11,2,0,18,0.0
150,33.8693,-118.1698,9,2,0,20,1.0
153,34.0443,-118.2698,1,2,0,0,0.0
154,34.0443,-118.2698,0,2,0,0,0.0
156,33.8753,-118.1548,10,3,0,20,0.0
157,33.9723,-118.2688,5,3,0,7,0.0
159,34.0443,-118.2698,0,3,0,0,1.0
161,34.0443,-118.2698,10,4,0,0,1.0
162,34.0443,-118.2698,10,4,0,0,1.0
163,34.0443,-118.2698,5,4,0,0,0.0
165,33.8503,-118.1718,11,1,0,21,1.0
166,33.8603,-118.3868,11,1,0,21,0.0
167,34.0463,-118.4378,8,1,0,16,0.0
168,34.0083,-118.1998,8,1,0,7,0.0
169,34.0443,-118.2698,7,1,0,0,0.0
170,34.0023,-118.3068,2,1,0,5,1.0
172,33.9283,-118.1068,1,1,0,20,0.0
173,33.8653,-118.1568,8,2,0,21,1.0
174,34.0463,-118.1008,6,2,0,16,1.0
175,33.8883,-118.1788,0,2,0,18,0.0
176,33.9513,-118.1358,0,2,0,16,0.0
178,33.9073,-118.2588,8,3,0,13,0.0
179,34.0313,-118.0708,2,3,0,19,0.0
185,33.9453,-118.2798,2,5,0,9,1.0
186,33.9443,-118.2568,2,5,0,10,0.0
187,33.8443,-118.3428,0,5,0,21,1.0
188,33.8603,-118.3468,10,1,0,19,1.0
190,34.0443,-118.2698,8,1,0,0,0.0
193,33.9073,-118.3978,4,1,0,18,0.0
194,34.0443,-118.2698,4,1,0,0,1.0
196,33.9513,-118.2688,11,2,0,9,0.0
197,33.8843,-118.1548,6,2,0,19,1.0
199,34.0443,-118.1028,0,2,0,16,0.0
202,34.0503,-118.1028,8,3,0,16,0.0
203,33.8943,-118.2738,6,3,0,15,1.0
204,34.0353,-118.4548,5,3,0,18,1.0
207,34.0443,-118.2698,11,4,0,0,0.0
208,34.0443,-118.2698,7,4,0,0,1.0
211,33.9623,-118.2328,1,4,0,8,1.0
212,33.9573,-118.3118,0,4,0,9,0.0
214,33.9473,-118.2628,6,1,0,9,0.0
215,34.0443,-118.2698,3,1,0,0,1.0
216,34.0443,-118.2698,0,1,0,0,0.0
217,34.0443,-118.2698,7,2,0,0,1.0
218,33.9093,-118.1548,6,2,0,17,0.0
219,33.8603,-118.1278,0,2,0,23,0.0
220,34.0443,-118.2698,11,3,0,0,1.0
221,34.0443,-118.2698,10,3,0,0,1.0
222,33.8813,-118.1908,9,3,0,18,0.0
223,33.9033,-118.1278,7,3,0,20,1.0
224,33.9193,-118.2398,6,3,0,12,0.0
225,33.9473,-118.3298,4,3,0,11,1.0
226,34.0443,-118.2698,1,3,0,0,0.0
229,33.8603,-118.4018,10,4,0,22,0.0
230,34.0443,-118.2698,10,4,0,0,0.0
231,34.0443,-118.2698,10,4,0,0,0.0
232,33.9683,-118.2948,2,4,0,8,1.0
233,33.9363,-118.4148,1,4,0,18,0.0
234,34.0733,-118.4778,0,4,0,21,0.0
235,33.8963,-118.3748,10,1,0,18,1.0
236,33.8693,-118.3178,8,1,0,18,0.0
238,34.0443,-118.2698,2,1,0,0,1.0
239,34.0443,-118.2698,2,1,0,0,0.0
240,34.0443,-118.2698,2,1,0,0,1.0
242,34.0443,-118.2698,10,2,0,0,1.0
243,33.8733,-118.3328,9,2,0,18,1.0
244,34.0443,-118.2698,3,2,0,0,1.0
245,33.8693,-118.2058,2,2,0,18,1.0
246,34.0443,-118.2698,9,3,0,0,1.0
247,34.0443,-118.2698,9,3,0,0,1.0
249,34.0443,-118.2698,6,3,0,0,0.0
250,34.0373,-118.1068,5,3,0,16,0.0
251,34.0443,-118.2698,2,3,0,0,0.0
252,34.0443,-118.2698,2,3,0,0,1.0
253,34.0443,-118.2698,1,3,0,0,1.0
254,34.0043,-118.2058,10,1,0,7,0.0
255,34.0463,-118.3748,7,1,0,10,1.0
257,34.0443,-118.2698,5,1,0,0,1.0
258,33.9493,-118.2058,3,1,0,11,1.0
260,34.0423,-118.4018,1,1,0,13,1.0
261,34.0273,-118.1968,10,3,0,7,0.0
262,34.0443,-118.2698,9,3,0,0,1.0
264,33.8903,-118.4018,6,3,0,20,0.0
265,34.0443,-118.2698,5,3,0,0,1.0
268,33.8693,-118.2418,0,3,0,17,1.0
270,33.9833,-118.1428,9,4,0,14,0.0
271,33.9553,-118.2418,9,4,0,9,1.0
272,33.8313,-118.3538,7,4,0,22,1.0
273,33.9003,-118.3888,5,4,0,18,1.0
274,33.9343,-118.2698,10,1,0,11,0.0
275,34.0443,-118.2698,7,1,0,0,1.0
276,33.9643,-118.1428,6,1,0,15,0.0
279,33.9033,-118.1928,7,2,0,16,1.0
280,33.9743,-118.2758,6,2,0,7,1.0
282,34.0443,-118.2698,2,2,0,0,1.0
283,34.0443,-118.2698,1,2,0,0,1.0
285,33.8673,-118.3328,11,3,0,18,0.0
287,33.9663,-118.3178,4,3,0,9,1.0
289,34.0233,-118.3258,2,3,0,5,1.0
290,34.0443,-118.2698,0,3,0,0,0.0
291,34.0333,-118.0688,11,4,0,20,1.0
295,33.9073,-118.4268,3,1,0,20,1.0
296,33.9343,-118.1318,11,2,0,17,0.0
297,33.9073,-118.1678,8,2,0,17,0.0
301,34.0273,-118.0838,3,2,0,18,0.0
302,34.0443,-118.2698,2,2,0,0,1.0
303,34.0443,-118.2698,8,3,0,0,1.0
305,33.9743,-118.3028,6,3,0,7,0.0
306,34.0023,-118.2818,6,3,0,4,0.0
307,33.9403,-118.1488,4,3,0,15,0.0
308,34.0443,-118.2698,4,3,0,0,1.0
309,33.8813,-118.1908,3,3,0,18,0.0
310,34.0443,-118.3638,2,3,0,9,0.0
311,33.9093,-118.3938,2,3,0,18,1.0
312,34.0443,-118.2698,1,3,0,0,0.0
314,33.9093,-118.3368,10,4,0,15,0.0
317,34.0353,-118.4038,10,1,0,13,1.0
318,34.0293,-118.3918,8,1,0,12,0.0
319,33.9283,-118.3708,7,1,0,15,0.0
320,34.0253,-118.2988,0,1,0,3,1.0
323,34.0313,-118.2988,11,2,0,3,0.0
324,34.0253,-118.3048,9,2,0,3,0.0
325,34.0253,-118.3048,1,2,0,3,0.0
328,34.0443,-118.2698,9,3,0,0,1.0
330,34.0443,-118.2698,7,3,0,0,1.0
331,33.8673,-118.2098,3,3,0,18,1.0
332,34.0443,-118.2698,1,3,0,0,1.0
335,33.9763,-118.0978,7,1,0,18,1.0
336,34.0163,-118.3198,6,1,0,5,0.0
337,33.8793,-118.3558,5,1,0,18,1.0
338,34.0163,-118.3488,4,1,0,8,0.0
339,34.0443,-118.2698,4,1,0,0,1.0
340,33.9003,-118.2518,2,1,0,14,0.0
341,33.9893,-118.1468,2,1,0,13,0.0
342,34.0443,-118.2698,0,1,0,0,0.0
343,34.0593,-118.4398,4,2,0,17,0.0
344,33.9283,-118.1108,4,2,0,19,1.0
346,33.8963,-118.2378,11,3,0,15,1.0
348,33.8463,-118.2648,9,3,0,19,0.0
350,34.0443,-118.2698,5,3,0,0,1.0
351,33.9113,-118.3488,4,3,0,15,1.0
352,34.0043,-118.2928,3,3,0,4,0.0
353,33.8903,-118.2038,0,3,0,16,1.0
355,33.8463,-118.1948,11,4,0,21,0.0
356,34.0443,-118.2698,11,4,0,0,1.0
357,33.9763,-118.3278,9,4,0,8,1.0
358,33.9833,-118.2098,9,4,0,8,1.0
360,34.0273,-118.3198,6,4,0,5,0.0
361,34.0443,-118.2698,6,4,0,0,1.0
362,33.8353,-118.2518,4,4,0,20,0.0
363,33.8843,-118.4058,0,4,0,20,1.0
365,33.9173,-118.2098,10,1,0,14,1.0
366,33.9113,-118.1828,9,1,0,15,0.0
367,33.9623,-118.2308,8,1,0,9,1.0
368,34.0423,-118.4188,6,1,0,14,0.0
370,34.0313,-118.1598,1,1,0,11,1.0
371,33.9623,-118.2588,8,2,0,8,0.0
372,33.9893,-118.2858,8,2,0,5,0.0
374,33.8463,-118.2588,5,2,0,19,0.0
375,33.9173,-118.4548,1,2,0,22,1.0
376,34.0443,-118.2698,1,2,0,0,0.0
377,33.9553,-118.2588,0,2,0,8,1.0
378,33.8843,-118.2518,0,2,0,16,0.0
379,34.0443,-118.2698,10,3,0,0,1.0
381,33.9993,-118.4268,5,3,0,16,1.0
382,33.8583,-118.3618,4,3,0,20,1.0
383,34.0163,-118.4188,3,3,0,15,0.0
384,34.0163,-118.1948,3,3,0,8,1.0
385,34.0313,-118.1318,0,3,0,13,0.0
386,34.0443,-118.2698,0,3,0,0,1.0
387,34.0443,-118.2698,8,4,0,0,1.0
388,33.9343,-118.3848,7,4,0,15,1.0
392,34.0443,-118.2698,9,1,0,0,1.0
393,33.8793,-118.3348,7,1,0,17,1.0
394,33.9113,-118.1888,6,1,0,15,1.0
395,33.9343,-118.1318,3,1,0,17,0.0
398,33.8393,-118.2648,11,2,0,20,0.0
399,33.8963,-118.3138,10,2,0,15,0.0
400,34.0213,-118.2518,9,2,0,2,1.0
401,33.9553,-118.1468,8,2,0,15,1.0
402,33.9173,-118.3618,5,2,0,15,0.0
403,34.0443,-118.2698,5,2,0,0,1.0
405,33.9663,-118.2368,2,2,0,8,0.0
406,33.9803,-118.4818,0,2,0,22,0.0
407,33.8963,-118.1468,9,3,0,19,0.0
408,34.0443,-118.2698,9,3,0,0,0.0
409,33.9073,-118.3918,6,3,0,18,1.0
410,34.0593,-118.1468,4,3,0,12,1.0
411,34.0593,-118.4188,4,3,0,14,1.0
413,33.8843,-118.2708,10,4,0,16,0.0
414,34.0593,-118.4458,6,4,0,17,0.0
415,34.0443,-118.2698,6,4,0,0,1.0
416,33.8523,-118.2308,5,4,0,19,1.0
418,34.0443,-118.2698,1,4,0,0,1.0
419,34.0273,-118.2098,0,4,0,6,1.0
420,33.9283,-118.1198,11,1,0,18,1.0
421,33.8843,-118.1678,10,1,0,18,0.0
422,34.0443,-118.2698,7,1,0,0,0.0
423,33.8773,-118.2738,4,1,0,16,1.0
424,34.0653,-118.4378,3,1,0,16,0.0
425,33.9953,-118.2688,3,1,0,4,0.0
426,34.0443,-118.1258,2,1,0,14,1.0
428,33.9833,-118.3008,10,2,0,6,0.0
429,34.0443,-118.2698,9,2,0,0,1.0
430,34.0403,-118.0898,7,2,0,18,1.0
431,34.0443,-118.1108,6,2,0,15,0.0
432,34.0443,-118.2698,1,2,0,0,0.0
434,34.0233,-118.2878,0,2,0,2,0.0
435,34.0443,-118.2698,11,3,0,0,1.0
437,34.0233,-118.3088,8,3,0,4,0.0
440,33.9053,-118.1738,3,3,0,16,1.0
441,33.8773,-118.3298,2,3,0,17,0.0
443,33.9663,-118.2688,7,4,0,7,1.0
446,33.9663,-118.3428,2,4,0,10,1.0
447,33.8883,-118.3298,1,4,0,16,0.0
448,34.0403,-118.4588,0,4,0,18,0.0
450,34.0483,-118.4168,2,5,0,14,1.0
451,34.0443,-118.2698,2,5,0,0,1.0
452,34.0443,-118.4228,1,5,0,15,1.0
453,34.0333,-118.1618,0,5,0,10,1.0
456,33.9893,-118.2438,8,1,0,6,1.0
457,33.9453,-118.0978,7,1,0,19,0.0
459,33.8693,-118.2588,3,1,0,17,0.0
460,33.8693,-118.1948,1,1,0,19,1.0
461,33.9763,-118.3198,0,1,0,8,1.0
462,34.0463,-118.0838,11,2,0,18,0.0
463,34.0443,-118.2698,9,2,0,0,1.0
464,34.0443,-118.2698,3,2,0,0,1.0
465,33.9283,-118.1108,2,2,0,19,0.0
466,34.0443,-118.2698,2,2,0,0,1.0
467,33.8523,-118.2098,11,3,0,20,0.0
468,34.0313,-118.3138,11,3,0,4,0.0
469,34.0463,-118.0978,10,3,0,17,0.0
470,33.9113,-118.1678,8,3,0,16,1.0
472,33.9173,-118.2928,7,3,0,12,1.0
473,33.9003,-118.1468,6,3,0,18,0.0
475,34.0273,-118.3278,3,3,0,6,0.0
476,33.8523,-118.3408,11,4,0,20,0.0
477,33.9723,-118.2708,11,4,0,7,0.0
478,34.0233,-118.4148,2,4,0,14,0.0
480,33.8633,-118.1468,10,1,0,21,1.0
481,33.8843,-118.3998,9,1,0,20,0.0
482,34.0443,-118.2698,9,1,0,0,1.0
484,33.9243,-118.1378,7,1,0,17,1.0
485,34.0043,-118.4398,6,1,0,17,0.0
486,34.0443,-118.2698,1,1,0,0,1.0
488,33.9173,-118.2038,10,2,0,14,1.0
489,34.0443,-118.2698,3,2,0,0,1.0
492,33.9073,-118.1678,8,3,0,17,1.0
493,33.9833,-118.2798,7,3,0,6,1.0
495,33.9343,-118.1318,6,3,0,17,1.0
497,34.0443,-118.2698,3,3,0,0,0.0
498,33.9113,-118.2098,0,3,0,14,0.0
499,33.9453,-118.4548,0,3,0,20,0.0
500,33.9663,-118.2708,10,4,0,7,0.0
501,33.9833,-118.2928,10,1,0,6,0.0
502,34.0443,-118.2698,10,1,0,0,0.0
503,34.0443,-118.2698,10,1,0,0,0.0
504,34.0443,-118.2698,9,1,0,0,1.0
505,34.0213,-118.1948,9,1,0,7,0.0
506,34.0443,-118.2698,5,1,0,0,0.0
507,34.0443,-118.2698,4,1,0,0,0.0
509,33.8693,-118.2588,1,1,0,17,1.0
511,34.0443,-118.2698,6,2,0,0,1.0
512,34.0163,-118.4668,5,2,0,19,0.0
513,34.0443,-118.2698,4,2,0,0,1.0
514,33.9343,-118.1318,3,2,0,17,0.0
518,33.9173,-118.1598,11,3,0,16,0.0
519,33.8693,-118.1888,7,3,0,19,0.0
520,34.0213,-118.1598,2,3,0,11,0.0
521,33.9833,-118.2378,0,3,0,6,1.0
524,34.0163,-118.1828,6,4,0,9,0.0
528,34.0313,-118.3558,2,4,0,8,0.0
529,34.0373,-118.4058,2,4,0,13,0.0
530,33.9993,-118.3408,0,4,0,8,0.0
533,34.0103,-118.2968,3,1,0,4,1.0
534,33.9533,-118.2968,0,1,0,9,1.0
535,34.0443,-118.2698,0,1,0,0,0.0
536,34.0443,-118.2698,0,1,0,0,1.0
537,34.0443,-118.2698,10,2,0,0,1.0
538,34.0293,-118.1888,10,2,0,8,0.0
539,34.0403,-118.1888,9,2,0,8,1.0
540,33.9723,-118.2738,7,2,0,7,0.0
541,33.8923,-118.1738,1,2,0,17,1.0
542,34.0443,-118.2698,1,2,0,0,1.0
544,33.9933,-118.2818,0,2,0,5,0.0
546,34.0593,-118.1618,7,3,0,10,0.0
547,33.9933,-118.2688,0,3,0,5,0.0
548,33.8463,-118.3918,11,4,0,23,0.0
549,33.8963,-118.1888,6,4,0,16,0.0
550,34.0403,-118.0788,4,4,0,19,1.0
551,34.0483,-118.1028,3,4,0,16,0.0
552,34.0333,-118.3118,1,4,0,4,1.0
553,34.0443,-118.2698,1,4,0,0,1.0
555,34.0443,-118.2698,0,4,0,0,1.0
558,34.0443,-118.2698,9,1,0,0,1.0
560,34.0443,-118.2698,6,1,0,0,0.0
561,33.9173,-118.3848,4,1,0,17,0.0
562,34.0463,-118.4058,10,2,0,13,0.0
563,33.9893,-118.3278,10,2,0,7,0.0
564,33.9383,-118.1948,3,2,0,12,1.0
567,33.8903,-118.1678,11,3,0,18,0.0
568,34.0443,-118.2698,11,3,0,0,1.0
569,34.0443,-118.2698,10,3,0,0,1.0
570,34.0443,-118.2698,8,3,0,0,0.0
571,33.9623,-118.1318,7,3,0,16,0.0
573,34.0443,-118.2698,5,3,0,0,0.0
574,33.8693,-118.2308,8,4,0,17,1.0
575,34.0443,-118.2698,10,1,0,0,1.0
576,34.0333,-118.4108,8,1,0,14,0.0
577,34.0443,-118.2698,8,1,0,0,1.0
578,34.0483,-118.4758,6,1,0,20,1.0
579,34.0063,-118.4188,5,1,0,15,1.0
580,33.9223,-118.4458,4,1,0,21,0.0
581,33.9173,-118.1168,3,1,0,19,1.0
583,34.0063,-118.4248,1,1,0,15,0.0
584,33.9173,-118.1258,0,1,0,19,0.0
586,34.0443,-118.2698,7,2,0,0,1.0
587,33.8353,-118.2538,5,2,0,20,1.0
589,34.0443,-118.2698,4,3,0,0,1.0
591,33.9723,-118.2688,2,3,0,7,1.0
592,33.9513,-118.4458,11,4,0,19,0.0
593,33.8843,-118.2688,10,4,0,16,1.0
594,33.9993,-118.1108,9,4,0,16,0.0
597,33.9553,-118.4758,4,4,0,22,1.0
599,34.0403,-118.1408,3,4,0,12,0.0
602,33.9953,-118.1468,4,5,0,13,0.0
603,34.0443,-118.2698,1,5,0,0,1.0
605,34.0463,-118.3998,7,1,0,13,0.0
606,33.9173,-118.3848,6,1,0,17,0.0
607,34.0443,-118.3258,5,1,0,5,1.0
608,34.0443,-118.2698,2,1,0,0,1.0
609,33.9283,-118.2078,0,1,0,13,1.0
612,33.9973,-118.2138,8,2,0,7,1.0
613,33.8793,-118.1448,7,2,0,20,0.0
614,34.0213,-118.1168,5,2,0,15,1.0
615,33.9973,-118.2458,0,2,0,5,0.0
617,34.0443,-118.2698,10,3,0,0,0.0
618,33.9073,-118.3408,8,3,0,15,1.0
619,34.0373,-118.2378,8,3,0,3,1.0
620,34.0213,-118.4268,5,3,0,15,0.0
621,33.8733,-118.3788,1,3,0,20,1.0
622,33.9283,-118.1598,0,3,0,15,0.0
623,34.0443,-118.2698,0,3,0,0,1.0
624,34.0673,-118.0878,11,4,0,18,0.0
625,34.0443,-118.2698,10,4,0,0,0.0
626,34.0443,-118.1868,3,4,0,8,0.0
628,33.8963,-118.4188,10,1,0,21,1.0
629,33.8463,-118.3328,9,1,0,20,1.0
630,34.0443,-118.2698,7,1,0,0,1.0
631,33.9153,-118.2688,6,1,0,12,1.0
634,34.0443,-118.2698,1,1,0,0,1.0
635,34.0443,-118.2698,11,2,0,0,1.0
636,33.8633,-118.1908,10,2,0,19,1.0
637,34.0443,-118.2698,6,2,0,0,1.0
638,34.0143,-118.2288,5,2,0,5,0.0
639,33.9553,-118.3638,4,2,0,12,1.0
640,33.8483,-118.1718,3,2,0,21,0.0
641,34.0443,-118.2698,10,3,0,0,1.0
642,34.0253,-118.3768,9,3,0,10,1.0
643,34.0143,-118.1338,9,3,0,13,0.0
644,33.8653,-118.3428,6,3,0,19,0.0
646,34.0443,-118.2698,3,3,0,0,1.0
647,33.9813,-118.2498,10,4,0,6,1.0
649,34.0443,-118.2698,7,4,0,0,1.0
651,33.9813,-118.1638,1,4,0,12,1.0
652,33.8373,-118.2208,0,4,0,21,1.0
654,33.9453,-118.4058,11,1,0,16,1.0
657,33.9283,-118.1298,7,1,0,18,0.0
658,34.0293,-118.4358,4,1,0,16,1.0
659,34.0443,-118.2698,0,1,0,0,1.0
660,34.0443,-118.2698,0,1,0,0,1.0
661,34.0443,-118.2698,9,2,0,0,1.0
663,33.8943,-118.3848,3,2,0,18,0.0
664,33.9893,-118.1238,2,2,0,15,1.0
665,33.8223,-118.3348,1,2,0,23,1.0
666,33.8843,-118.2708,1,2,0,16,0.0
667,33.9683,-118.3998,11,3,0,15,0.0
670,33.8673,-118.3998,10,4,0,21,1.0
671,34.0443,-118.4208,4,4,0,15,0.0
672,34.0573,-118.0938,2,4,0,17,0.0
673,33.9783,-118.4568,1,4,0,19,1.0
674,34.0273,-118.1888,10,1,0,8,1.0
675,33.8793,-118.1888,8,1,0,18,0.0
676,33.8733,-118.1528,2,1,0,20,1.0
678,33.9343,-118.2248,0,1,0,11,0.0
679,34.0443,-118.2698,0,1,0,0,1.0
680,33.8903,-118.1258,11,2,0,21,1.0
681,33.9933,-118.2248,0,2,0,6,1.0
682,34.0633,-118.4058,10,3,0,13,0.0
683,33.9073,-118.2648,9,3,0,13,1.0
684,33.8843,-118.1758,8,3,0,18,0.0
685,33.9243,-118.2248,6,3,0,12,1.0
687,33.8903,-118.1468,4,3,0,19,0.0
690,33.8843,-118.1528,10,4,0,19,1.0
691,34.0043,-118.2308,3,4,0,5,0.0
694,33.8293,-118.3538,10,1,0,23,0.0
695,34.0233,-118.3748,9,1,0,10,1.0
696,34.0443,-118.1698,8,1,0,10,1.0
697,34.0403,-118.1318,5,1,0,13,0.0
699,34.0233,-118.1758,0,1,0,9,0.0
701,34.0443,-118.2698,4,2,0,0,1.0
702,34.0163,-118.4108,2,2,0,14,1.0
703,33.9763,-118.1028,2,2,0,18,1.0
704,33.8693,-118.2688,0,2,0,17,0.0
706,33.9473,-118.2738,11,3,0,9,0.0
707,33.9723,-118.1468,11,3,0,14,1.0
709,34.0443,-118.2698,7,3,0,0,1.0
711,34.0483,-118.0748,2,3,0,19,1.0
712,34.0443,-118.1108,0,3,0,15,0.0
713,34.0233,-118.0688,9,1,0,20,0.0
714,33.9993,-118.0958,8,1,0,17,1.0
718,34.0443,-118.2698,2,1,0,0,1.0
719,33.9993,-118.4318,1,1,0,16,0.0
720,33.9893,-118.2818,0,1,0,5,0.0
725,34.0443,-118.2698,3,2,0,0,1.0
726,33.9953,-118.2058,2,2,0,8,1.0
730,34.0293,-118.1408,1,3,0,12,0.0
732,34.0633,-118.3998,8,1,0,13,1.0
735,34.0733,-118.4128,1,1,0,14,0.0
738,34.0423,-118.1258,10,2,0,14,0.0
739,33.9493,-118.1168,7,2,0,18,1.0
740,33.9453,-118.3768,4,2,0,14,0.0
741,33.9623,-118.1758,3,2,0,12,1.0
742,34.0443,-118.2698,3,2,0,0,1.0
743,33.9283,-118.1108,2,2,0,19,0.0
744,34.0443,-118.2698,1,2,0,0,1.0
747,34.0443,-118.2698,0,3,0,0,1.0
750,33.9343,-118.1168,4,4,0,18,1.0
751,34.0443,-118.2698,3,4,0,0,1.0
754,33.8353,-118.2248,0,4,0,21,0.0
756,34.0443,-118.2698,8,1,0,0,1.0
757,34.0103,-118.4458,7,1,0,17,1.0
758,33.9113,-118.2158,6,1,0,14,1.0
759,33.9283,-118.1678,5,1,0,15,1.0
760,34.0443,-118.2698,4,1,0,0,0.0
761,33.8903,-118.2248,4,1,0,16,0.0
762,33.9173,-118.3138,3,1,0,13,0.0
763,34.0593,-118.4398,7,2,0,17,1.0
764,34.0593,-118.1048,6,2,0,16,0.0
767,33.9833,-118.2158,5,2,0,8,1.0
768,34.0043,-118.3998,4,2,0,13,1.0
769,34.0443,-118.2698,2,2,0,0,1.0
771,33.9723,-118.2438,0,2,0,7,1.0
774,34.0103,-118.0768,1,3,0,19,0.0
775,33.8393,-118.3488,4,4,0,21,0.0
779,33.9113,-118.2798,10,1,0,13,1.0
780,33.8903,-118.3408,8,1,0,16,0.0
781,33.8393,-118.3138,10,2,0,20,0.0
785,33.8903,-118.3768,11,3,0,18,1.0
786,34.0593,-118.0628,9,3,0,20,1.0
