lat,lon,minutes_remaining,period,playoffs,shot_distance,shot_made_flag
33.9623,-118.4028,11,3,0,15,0.0
33.9943,-118.2988,9,1,0,5,0.0
34.0443,-118.2698,8,4,0,0,1.0
33.9273,-118.3798,11,3,0,16,0.0
34.0443,-118.2748,8,3,0,0,1.0
34.0443,-118.2698,0,1,1,0,0.0
34.0443,-118.2698,0,4,0,0,1.0
34.0163,-118.2768,0,2,0,2,0.0
33.9453,-118.4548,0,3,0,20,0.0
33.9883,-118.3178,11,3,0,7,0.0
34.0443,-118.2698,11,1,1,0,1.0
33.9973,-118.2118,3,4,0,7,0.0
33.9693,-118.3618,7,3,0,11,0.0
33.9263,-118.1318,10,3,0,18,1.0
34.0443,-118.2698,8,3,0,0,1.0
33.8813,-118.3678,2,1,0,19,0.0
33.8583,-118.3888,3,2,0,22,1.0
34.0213,-118.2128,11,3,0,6,1.0
33.9703,-118.2668,1,3,0,7,0.0
33.8663,-118.1558,2,3,0,21,1.0
34.0443,-118.2698,0,3,0,0,1.0
33.9133,-118.4118,5,1,0,19,1.0
34.0523,-118.4218,5,3,0,15,0.0
34.0443,-118.2698,6,2,0,0,1.0
33.8603,-118.3978,4,4,1,22,1.0
34.0253,-118.2858,5,4,0,2,1.0
33.9483,-118.2048,11,1,0,11,1.0
34.0333,-118.1098,7,3,0,16,0.0
34.0443,-118.2698,6,3,0,0,0.0
33.9343,-118.1728,10,1,0,14,0.0
34.0183,-118.1378,1,4,0,13,1.0
34.0183,-118.1088,8,4,0,16,0.0
34.0443,-118.2698,3,2,0,0,1.0
34.0023,-118.4318,9,1,1,16,0.0
33.8763,-118.2548,7,1,0,16,0.0
34.0243,-118.2768,3,1,0,2,0.0
33.8993,-118.2568,5,1,0,14,1.0
34.0023,-118.2078,7,2,1,7,0.0
33.9173,-118.1408,4,1,0,18,0.0
34.0553,-118.3748,6,2,0,10,0.0
33.9783,-118.2498,5,2,0,6,0.0
33.9803,-118.2698,0,3,0,6,1.0
33.8523,-118.1858,4,2,0,20,1.0
33.8813,-118.2128,6,3,0,17,1.0
33.9623,-118.2068,4,2,0,10,0.0
33.9533,-118.2178,7,3,0,10,1.0
34.0443,-118.2698,2,1,0,0,1.0
34.0033,-118.0888,11,2,1,18,0.0
33.8773,-118.2338,5,2,0,17,0.0
34.0183,-118.2188,6,1,0,5,1.0
34.0113,-118.2598,1,2,0,3,1.0
33.8523,-118.1568,0,3,0,22,1.0
33.9523,-118.2258,5,4,0,10,0.0
33.9323,-118.2668,2,4,0,11,1.0
33.8953,-118.3328,1,4,1,16,1.0
34.0303,-118.1998,5,4,0,7,0.0
33.9233,-118.4168,9,3,0,19,1.0
33.8933,-118.1438,4,1,0,19,0.0
34.0253,-118.2698,0,1,0,1,0.0
33.9893,-118.1368,4,4,0,14,0.0
34.0243,-118.2668,7,1,0,2,0.0
34.0443,-118.2698,7,1,0,0,0.0
34.0543,-118.3998,5,2,0,13,0.0
34.0443,-118.2698,3,4,0,0,0.0
33.8983,-118.2658,4,5,0,14,0.0
33.8803,-118.1648,3,1,0,19,0.0
34.0293,-118.0698,0,2,0,20,0.0
33.8603,-118.3698,4,3,0,20,1.0
33.8573,-118.3468,5,4,0,20,0.0
33.8763,-118.2008,2,1,0,18,0.0
34.0243,-118.3828,2,1,0,11,1.0
33.9473,-118.4228,9,4,0,18,0.0
33.9083,-118.3508,3,1,0,15,0.0
33.9203,-118.3788,6,2,0,16,0.0
33.8543,-118.2188,5,4,0,19,0.0
34.0443,-118.2698,2,1,0,0,1.0
34.0443,-118.2698,0,2,0,0,1.0
34.0443,-118.1548,8,2,0,11,0.0
33.9063,-118.4078,0,4,0,19,0.0
33.9293,-118.2718,4,1,0,11,1.0
33.9423,-118.1398,6,2,0,16,1.0
34.0443,-118.2698,2,3,0,0,1.0
33.9093,-118.1358,5,4,0,19,0.0
34.0443,-118.2698,8,3,0,0,1.0
34.0403,-118.2778,5,2,1,0,1.0
34.0433,-118.2418,0,2,0,2,0.0
34.0443,-118.2698,1,1,0,0,1.0
33.9383,-118.1958,9,4,0,12,0.0
34.0443,-118.2698,4,4,0,0,1.0
34.0443,-118.2698,6,2,0,0,1.0
34.0273,-118.4578,0,4,0,18,1.0
33.8503,-118.2338,0,2,0,19,1.0
33.9073,-118.1378,4,3,0,19,1.0
34.0253,-118.2768,9,4,0,2,1.0
33.8563,-118.2778,9,4,0,18,0.0
34.0443,-118.2698,10,2,0,0,1.0
34.0313,-118.1148,0,3,0,15,0.0
34.0443,-118.2698,0,2,1,0,0.0
34.0183,-118.3288,4,1,0,6,0.0
33.9963,-118.1998,9,1,0,8,1.0
33.9883,-118.1648,9,1,0,11,1.0
34.0163,-118.1198,6,3,1,15,0.0
33.9093,-118.1438,1,1,0,18,1.0
34.0323,-118.2028,9,2,0,6,0.0
33.9693,-118.3918,0,2,0,14,0.0
33.9173,-118.3808,11,1,1,16,0.0
34.0443,-118.2698,6,1,0,0,1.0
34.0443,-118.2698,0,1,0,0,0.0
34.0443,-118.2698,6,2,0,0,1.0
34.0443,-118.2698,2,3,0,0,1.0
33.9043,-118.2768,5,4,0,14,1.0
34.0163,-118.2958,4,4,0,3,0.0
34.0443,-118.2698,4,2,0,0,1.0
33.9533,-118.0678,10,2,0,22,0.0
33.9443,-118.2568,2,5,0,10,0.0
34.0443,-118.2698,3,4,1,0,1.0
34.0403,-118.1288,8,1,0,14,1.0
33.9663,-118.4238,4,1,0,17,0.0
33.9143,-118.1348,2,1,0,18,1.0
33.9433,-118.2038,10,1,0,12,0.0
34.0323,-118.3158,0,4,0,4,1.0
33.8713,-118.3468,3,2,0,18,1.0
33.9913,-118.1118,3,2,0,16,0.0
34.0183,-118.0988,10,1,0,17,0.0
33.8833,-118.3978,1,2,0,20,0.0
34.0153,-118.1358,5,1,0,13,1.0
34.0443,-118.2698,9,3,0,0,1.0
34.0083,-118.2598,8,3,0,3,1.0
34.0433,-118.2688,11,1,1,0,1.0
33.8703,-118.1268,8,4,0,22,0.0
34.0443,-118.2698,2,2,0,0,1.0
34.0313,-118.2108,0,1,0,6,1.0
33.9313,-118.4258,1,2,0,19,0.0
33.9673,-118.1008,4,3,0,18,0.0
33.9703,-118.2758,2,5,0,7,1.0
33.9803,-118.3348,1,2,0,9,0.0
33.9203,-118.3658,10,4,0,15,1.0
34.0333,-118.3338,3,3,0,6,0.0
33.9913,-118.3018,0,4,0,6,1.0
33.8423,-118.2618,4,4,0,20,0.0
34.0093,-118.1498,10,2,0,12,1.0
34.0353,-118.4548,3,2,0,18,0.0
33.9613,-118.4388,5,2,0,18,1.0
33.8653,-118.3398,9,1,0,19,0.0
34.0443,-118.2698,6,1,0,0,1.0
34.0443,-118.2698,7,3,0,0,0.0
33.9933,-118.2138,1,2,0,7,0.0
34.0523,-118.4388,5,1,0,16,0.0
34.0443,-118.1028,4,4,0,16,1.0
34.0443,-118.2698,0,3,0,0,0.0
34.0443,-118.2698,0,3,0,0,1.0
33.9223,-118.1068,4,2,0,20,0.0
34.0053,-118.4448,1,1,0,17,0.0
34.0103,-118.3918,1,3,0,12,1.0
34.0253,-118.2568,0,4,0,2,0.0
33.8503,-118.3358,4,2,0,20,1.0
34.0603,-118.1608,10,3,0,11,1.0
33.9573,-118.3668,3,2,0,13,0.0
34.0443,-118.2698,3,4,0,0,1.0
34.0193,-118.1428,4,2,0,12,0.0
34.0333,-118.3758,10,1,0,10,0.0
33.8143,-118.2538,9,4,0,23,1.0
33.8983,-118.1538,6,1,0,18,1.0
34.0393,-118.4418,7,3,0,17,0.0
34.0243,-118.2548,0,1,0,2,0.0
34.0433,-118.2518,4,1,0,1,1.0
33.9443,-118.2298,3,3,1,10,0.0
33.9853,-118.2518,8,2,0,6,1.0
34.0443,-118.2698,10,3,0,0,1.0
33.9203,-118.3118,7,4,0,13,0.0
33.9243,-118.1698,8,3,0,15,1.0
33.9313,-118.3158,3,4,0,12,1.0
33.9763,-118.2818,4,2,1,6,1.0
33.9403,-118.4458,0,1,0,20,0.0
33.8433,-118.3178,4,3,0,20,0.0
33.9803,-118.1678,0,1,0,12,1.0
34.0443,-118.2698,5,3,0,0,1.0
33.9373,-118.1208,8,2,0,18,0.0
34.0343,-118.3978,0,2,0,12,0.0
33.8463,-118.3328,9,1,0,20,1.0
33.9583,-118.3768,3,2,1,13,1.0
34.0443,-118.2698,9,3,1,0,1.0
33.9283,-118.4488,11,1,0,21,0.0
33.8633,-118.2488,4,2,0,18,0.0
34.0463,-118.3748,7,1,0,10,1.0
33.9923,-118.2808,2,4,0,5,0.0
33.8893,-118.3288,2,3,0,16,0.0
33.9533,-118.1228,3,4,0,17,0.0
34.0133,-118.4268,10,1,0,16,1.0
33.9253,-118.1298,7,2,1,18,0.0
34.0443,-118.2698,3,4,0,0,1.0
33.9073,-118.1978,3,1,0,15,1.0
33.8573,-118.3378,10,1,0,19,0.0
33.9043,-118.1508,2,3,1,18,1.0
34.0003,-118.0798,0,3,0,19,0.0
34.0443,-118.2698,6,1,0,0,1.0
34.0483,-118.3638,4,4,0,9,0.0
34.0443,-118.2698,1,2,0,0,1.0
34.0443,-118.2698,6,4,0,0,1.0
33.9483,-118.3178,4,3,0,10,0.0
33.8543,-118.3378,11,2,0,20,0.0
33.8503,-118.2538,10,2,0,19,0.0
33.9723,-118.4168,4,1,0,16,0.0
33.9663,-118.1868,2,1,0,11,0.0
34.0043,-118.2028,7,3,1,7,0.0
33.8543,-118.2418,2,4,0,19,0.0
34.0243,-118.2088,9,3,0,6,0.0
33.9963,-118.3298,5,1,0,7,0.0
33.9323,-118.2968,11,4,0,11,0.0
33.9733,-118.1258,1,3,0,16,0.0
33.9203,-118.1678,8,2,0,16,0.0
33.8413,-118.2998,6,2,0,20,0.0
34.0233,-118.1398,1,1,1,13,1.0
34.0523,-118.0818,7,4,0,18,0.0
34.0183,-118.3918,0,1,0,12,1.0
33.8993,-118.1788,9,1,0,17,1.0
33.8913,-118.2138,9,1,0,16,1.0
33.8293,-118.2698,11,1,0,21,0.0
33.8943,-118.2588,0,4,0,15,0.0
34.0443,-118.2698,3,4,0,0,1.0
33.9913,-118.2758,3,1,1,5,0.0
34.0213,-118.2418,1,4,0,3,1.0
34.0183,-118.3948,6,1,0,12,1.0
34.0443,-118.2698,9,1,1,0,0.0
33.9593,-118.2968,6,2,1,8,1.0
34.0193,-118.2048,8,3,0,6,0.0
33.9343,-118.3328,6,3,0,12,1.0
34.0443,-118.2698,4,3,0,0,1.0
33.9363,-118.2928,3,2,0,11,0.0
34.0443,-118.2698,7,4,0,0,1.0
34.0403,-118.2548,2,4,0,1,1.0
34.0443,-118.1918,7,1,0,7,1.0
33.9163,-118.3758,3,4,1,16,0.0
34.0443,-118.2698,3,3,0,0,1.0
33.9373,-118.1108,6,4,1,19,1.0
34.0443,-118.2698,9,3,0,0,1.0
33.9373,-118.2318,7,4,0,11,1.0
34.0443,-118.2698,7,3,0,0,0.0
33.9363,-118.1358,11,3,0,17,1.0
33.8903,-118.3538,7,3,0,17,1.0
34.0443,-118.2698,7,4,0,0,0.0
33.9683,-118.4108,10,1,0,16,0.0
33.8743,-118.3668,4,2,0,19,0.0
34.0443,-118.2698,2,3,0,0,1.0
34.0163,-118.1548,7,1,0,11,0.0
34.0393,-118.0698,9,3,0,20,1.0
34.0443,-118.2698,9,2,0,0,1.0
34.0413,-118.4278,6,2,0,15,0.0
33.9673,-118.2448,10,2,0,8,0.0
34.0443,-118.2698,7,3,0,0,1.0
33.8763,-118.2088,8,3,0,17,1.0
33.8893,-118.1828,9,2,0,17,0.0
34.0113,-118.2548,4,1,0,3,0.0
34.0313,-118.4618,7,4,0,19,1.0
33.9573,-118.3468,6,3,0,11,1.0
33.8863,-118.2688,9,1,0,15,1.0
33.9953,-118.2848,11,3,1,5,0.0
34.0333,-118.2578,8,3,0,1,0.0
34.0553,-118.2748,4,2,0,1,1.0
34.0443,-118.2698,3,3,0,0,1.0
33.9793,-118.2058,3,4,0,9,1.0
34.0143,-118.1988,2,4,0,7,0.0
34.0223,-118.2308,10,3,0,4,1.0
34.0443,-118.2698,0,4,0,0,1.0
33.9403,-118.0858,1,3,0,21,1.0
34.0503,-118.1528,5,1,0,11,0.0
33.9863,-118.4538,10,1,0,19,0.0
34.0443,-118.2698,4,4,0,0,0.0
34.0443,-118.2698,6,1,0,0,1.0
34.0163,-118.2658,3,3,0,2,0.0
33.9343,-118.3778,5,1,0,15,1.0
34.0443,-118.2698,1,3,0,0,1.0
33.8763,-118.3018,6,3,0,17,1.0
34.0443,-118.2698,8,3,0,0,1.0
33.9933,-118.2668,3,3,0,5,0.0
33.8553,-118.2728,7,1,0,18,1.0
33.9563,-118.1968,5,2,0,11,0.0
33.8353,-118.2248,0,4,0,21,0.0
34.0473,-118.2808,2,1,1,1,0.0
34.0443,-118.2698,0,3,0,0,1.0
33.9853,-118.2518,5,4,1,6,0.0
34.0443,-118.2698,3,2,0,0,1.0
33.8943,-118.4308,2,1,0,22,0.0
33.9783,-118.1088,8,4,0,17,0.0
34.0353,-118.2288,1,2,1,4,1.0
34.0293,-118.4738,5,2,0,20,0.0
33.9663,-118.3008,7,4,0,8,1.0
34.0443,-118.2698,3,3,0,0,1.0
33.9593,-118.1978,9,2,0,11,1.0
34.0413,-118.4078,6,4,0,13,1.0
33.9603,-118.1948,9,1,0,11,1.0
33.9983,-118.1468,3,2,0,13,0.0
33.8883,-118.1438,7,2,0,20,1.0
33.9353,-118.1828,1,2,0,13,0.0
34.0473,-118.2838,7,1,0,1,1.0
34.0263,-118.1958,3,2,0,7,0.0
34.0443,-118.2698,4,4,0,0,0.0
34.0443,-118.2698,8,2,0,0,1.0
33.9293,-118.1038,4,4,0,20,0.0
34.0443,-118.2698,0,1,0,0,1.0
33.9013,-118.1548,2,2,0,18,0.0
34.0443,-118.2698,1,4,0,0,0.0
34.0233,-118.1108,10,3,0,16,0.0
34.0443,-118.0858,7,1,0,18,1.0
34.0293,-118.4328,0,1,0,16,0.0
33.9043,-118.1728,5,4,1,17,1.0
33.9563,-118.2608,6,2,0,8,0.0
33.9013,-118.4088,5,3,0,19,0.0
34.0443,-118.2698,2,2,0,0,1.0
34.0373,-118.2698,0,1,0,0,1.0
34.0443,-118.4108,0,1,1,14,1.0
34.0443,-118.2698,0,1,0,0,1.0
33.9383,-118.3138,10,4,1,11,1.0
34.0443,-118.2698,10,4,0,0,1.0
33.9963,-118.2418,5,3,0,5,1.0
34.0423,-118.2458,8,1,0,2,1.0
33.9783,-118.2728,0,4,0,6,0.0
33.8843,-118.2228,8,2,0,16,0.0
33.8763,-118.1818,5,1,0,18,0.0
33.8773,-118.1808,1,2,0,18,0.0
33.8813,-118.1658,4,4,0,19,1.0
33.8683,-118.1708,3,4,1,20,0.0
34.0443,-118.2698,6,3,0,0,0.0
33.8983,-118.3968,8,3,0,19,1.0
34.0413,-118.2688,7,1,0,0,1.0
33.9973,-118.1128,7,3,1,16,1.0
33.9753,-118.2168,1,1,1,8,0.0
34.0163,-118.1828,6,4,0,9,0.0
34.0443,-118.2698,3,3,0,0,0.0
34.0213,-118.2688,10,1,0,2,1.0
33.9733,-118.2908,1,1,0,7,1.0
33.9173,-118.1368,6,4,0,18,1.0
33.9123,-118.3618,2,3,0,16,0.0
33.8753,-118.2228,8,1,0,17,1.0
34.0253,-118.1978,0,1,0,7,0.0
33.9213,-118.0878,4,1,0,21,0.0
34.0443,-118.2698,6,3,0,0,0.0
33.9973,-118.1948,3,2,0,8,0.0
33.8953,-118.3758,11,3,0,18,0.0
33.8833,-118.1368,8,3,0,20,1.0
34.0103,-118.2168,5,3,0,6,1.0
34.0793,-118.4218,3,3,1,15,1.0
34.0413,-118.1258,10,3,1,14,1.0
34.0443,-118.2698,4,4,0,0,0.0
34.0443,-118.2698,9,1,0,0,0.0
34.0033,-118.2778,6,2,0,4,1.0
34.0423,-118.0878,11,1,0,18,0.0
34.0443,-118.1758,4,3,0,9,1.0
33.9783,-118.2548,5,2,0,6,1.0
33.8413,-118.2988,6,1,0,20,0.0
34.0293,-118.2658,2,3,0,1,0.0
34.0443,-118.2698,3,3,0,0,1.0
34.0093,-118.3698,5,2,0,10,0.0
34.0233,-118.4378,0,1,0,16,0.0
33.9783,-118.2178,0,2,0,8,1.0
34.0443,-118.2698,6,3,0,0,0.0
34.0443,-118.2698,6,1,1,0,1.0
33.8253,-118.2718,0,4,0,21,0.0
34.0443,-118.2698,0,2,0,0,1.0
33.8683,-118.1668,2,3,0,20,0.0
34.0443,-118.2698,10,3,0,0,1.0
34.0053,-118.2658,4,2,0,3,0.0
33.9893,-118.3038,3,3,0,6,0.0
34.0443,-118.2698,10,4,0,0,1.0
34.0443,-118.2698,3,2,1,0,1.0
34.0133,-118.3448,4,4,0,8,1.0
34.0443,-118.2698,4,1,0,0,0.0
33.9263,-118.1238,11,4,1,18,0.0
33.8523,-118.2728,6,3,0,19,0.0
34.0333,-118.3038,0,1,0,3,0.0
33.8443,-118.2628,3,1,0,20,0.0
34.0133,-118.1928,2,3,0,8,1.0
34.0503,-118.0938,0,1,0,17,0.0
33.9103,-118.1288,9,2,0,19,0.0
34.0443,-118.2698,10,1,0,0,1.0
33.9993,-118.3408,0,4,0,8,0.0
34.0413,-118.2668,1,4,1,0,0.0
34.0433,-118.2698,3,4,0,0,1.0
33.8703,-118.3258,6,4,1,18,0.0
33.9833,-118.2188,3,5,1,7,1.0
34.0443,-118.2698,11,1,0,0,1.0
34.0443,-118.2698,4,1,0,0,1.0
33.9283,-118.1408,7,4,0,17,0.0
34.0343,-118.1388,9,4,0,13,0.0
34.0213,-118.2858,0,3,0,2,1.0
33.9293,-118.3818,0,2,0,16,1.0
34.0313,-118.2698,1,3,0,1,0.0
34.0023,-118.3448,9,4,1,8,1.0
34.0253,-118.2658,8,1,0,1,1.0
33.9833,-118.2548,7,3,0,6,0.0
33.9763,-118.2758,1,3,0,6,0.0
33.9883,-118.2908,0,2,0,5,0.0
33.9433,-118.1468,5,3,0,15,0.0
34.0433,-118.2538,7,3,0,1,1.0
34.0553,-118.4818,4,4,0,21,0.0
33.9203,-118.4488,9,1,0,21,1.0
34.0443,-118.2698,7,2,0,0,0.0
34.0443,-118.2698,1,2,0,0,1.0
33.8453,-118.2698,11,3,0,19,1.0
33.9453,-118.1088,3,2,0,18,0.0
33.8903,-118.1698,7,1,0,18,0.0
34.0653,-118.0728,1,3,0,19,0.0
33.8693,-118.1518,5,4,0,21,1.0
34.0443,-118.2698,4,3,0,0,1.0
33.9533,-118.4188,1,2,0,17,0.0
34.0633,-118.3998,3,2,1,13,1.0
33.9403,-118.2158,9,3,1,11,1.0
33.9503,-118.1748,7,1,0,13,0.0
33.9093,-118.2858,5,1,0,13,0.0
34.0683,-118.0988,2,2,1,17,0.0
33.9343,-118.1648,1,1,0,15,0.0
33.8433,-118.3548,4,1,0,21,1.0
34.0183,-118.1168,2,2,0,15,0.0
33.9113,-118.3238,7,3,0,14,1.0
33.9213,-118.3768,6,4,1,16,0.0
34.0423,-118.4108,3,4,0,14,0.0
33.9153,-118.1358,0,3,1,18,0.0
34.0623,-118.4178,8,1,0,14,1.0
33.8393,-118.2818,11,1,0,20,0.0
34.0443,-118.2698,1,3,0,0,1.0
33.9573,-118.4238,2,1,0,17,1.0
33.9253,-118.2188,1,4,0,12,0.0
34.0213,-118.2698,9,1,0,2,0.0
33.9043,-118.2318,2,4,1,14,1.0
34.0443,-118.2698,8,4,0,0,0.0
33.8353,-118.3018,3,4,0,21,0.0
34.0323,-118.2738,6,4,0,1,1.0
33.9053,-118.1758,9,1,1,16,1.0
34.0493,-118.1888,1,2,0,8,0.0
33.9923,-118.3078,6,3,0,6,0.0
33.8783,-118.1518,3,2,0,20,1.0
33.9763,-118.3008,0,1,0,7,0.0
33.9663,-118.2688,1,3,0,7,1.0
33.8633,-118.3918,8,4,0,21,1.0
34.0013,-118.1338,4,1,0,14,1.0
34.0443,-118.2698,9,4,0,0,1.0
34.0443,-118.2698,1,1,0,0,1.0
33.9093,-118.2328,7,1,0,13,0.0
33.9643,-118.3288,2,1,0,9,1.0
34.0443,-118.2698,3,2,0,0,1.0
33.9173,-118.1598,11,3,0,16,0.0
33.9683,-118.2688,10,4,0,7,0.0
33.8833,-118.2308,5,1,0,16,0.0
33.9073,-118.1448,4,1,0,18,1.0
34.0443,-118.2698,0,3,0,0,0.0
34.0443,-118.2698,4,1,0,0,1.0
33.9813,-118.2708,0,2,1,6,1.0
33.8523,-118.1978,0,4,0,20,0.0
34.0443,-118.2698,0,3,0,0,1.0
34.0443,-118.2698,7,1,1,0,1.0
34.0433,-118.2498,7,4,0,2,1.0
33.8963,-118.3788,2,1,0,18,1.0
34.0263,-118.0568,8,1,0,21,1.0
33.8873,-118.1588,0,4,0,19,0.0
33.8933,-118.2968,1,2,0,15,1.0
33.9783,-118.2638,10,2,1,6,1.0
33.9073,-118.3828,6,2,1,17,0.0
33.9703,-118.1208,7,3,0,16,0.0
33.9993,-118.1418,7,4,0,13,0.0
34.0313,-118.2638,7,1,1,1,0.0
34.0353,-118.1508,7,1,0,11,1.0
33.8733,-118.1768,3,2,1,19,0.0
33.8583,-118.1548,5,3,0,21,1.0
34.0443,-118.2698,1,4,0,0,1.0
34.0443,-118.2698,9,3,0,0,1.0
33.8953,-118.3348,5,1,0,16,1.0
34.0443,-118.2698,3,4,1,0,1.0
34.0403,-118.1548,1,1,0,11,1.0
34.0013,-118.2858,8,4,0,4,1.0
34.0443,-118.2698,11,2,0,0,0.0
33.9373,-118.3378,7,3,0,12,0.0
34.0243,-118.3218,10,3,1,5,1.0
34.0143,-118.1948,0,3,1,8,0.0
34.0443,-118.3328,2,1,0,6,1.0
34.0353,-118.1648,2,1,0,10,0.0
34.0443,-118.2698,0,3,0,0,1.0
33.9453,-118.1108,4,4,0,18,1.0
33.9263,-118.3858,1,1,0,16,0.0
34.0223,-118.2728,9,3,0,2,0.0
34.0273,-118.0718,9,4,0,19,0.0
33.8913,-118.4228,7,4,0,21,1.0
33.9283,-118.4078,3,2,0,18,0.0
33.9693,-118.4788,3,3,0,22,0.0
34.0443,-118.2698,2,4,0,0,0.0
34.0463,-118.1188,5,1,0,15,0.0
34.0443,-118.2698,9,2,0,0,0.0
34.0323,-118.2728,7,1,0,1,0.0
33.8743,-118.1448,10,1,0,21,0.0
34.0113,-118.2568,2,2,1,3,0.0
34.0083,-118.1388,7,1,0,13,0.0
34.0233,-118.1338,11,2,0,13,0.0
33.9013,-118.4158,3,4,0,20,0.0
33.8933,-118.2408,4,2,1,15,0.0
33.8933,-118.3718,9,3,0,18,0.0
34.0443,-118.2698,9,4,0,0,0.0
33.9243,-118.0928,0,4,0,21,0.0
33.9433,-118.1278,5,1,0,17,1.0
34.0443,-118.2698,9,3,0,0,0.0
34.0443,-118.2698,9,1,0,0,1.0
34.0443,-118.2698,6,2,0,0,0.0
33.9453,-118.1338,9,1,1,16,0.0
33.9983,-118.2548,7,3,0,4,1.0
34.0443,-118.2698,9,1,1,0,0.0
34.0503,-118.2758,4,3,0,0,1.0
33.9483,-118.0878,11,1,1,20,0.0
34.0443,-118.2798,1,1,0,1,0.0
34.0443,-118.4588,6,1,0,18,1.0
33.8863,-118.3938,9,4,0,20,0.0
33.8473,-118.2418,0,4,0,19,0.0
34.0133,-118.1848,7,3,0,9,0.0
33.9163,-118.1058,3,3,0,20,1.0
33.9083,-118.1988,5,1,0,15,1.0
34.0343,-118.1648,3,1,0,10,0.0
34.0083,-118.0858,6,3,0,18,1.0
33.9403,-118.3698,3,4,0,14,1.0
34.0603,-118.1458,11,1,0,12,0.0
34.0503,-118.2538,5,3,0,1,1.0
